29.305334,120.300384
29.305282,120.300416
29.305268,120.300416
29.305234,120.300384
29.305200,120.300344
29.305166,120.300288
29.305150,120.300200
29.305134,120.300104
29.305134,120.300032
29.305134,120.300032
29.305134,120.299968
29.305134,120.299880
29.305134,120.299848
29.305150,120.299800
29.305116,120.299664
29.305134,120.299656
29.305134,120.299616
29.305116,120.299584
29.305084,120.299656
29.305100,120.299680
29.305166,120.299832
29.305166,120.299864
29.305116,120.299952
29.305100,120.299968
29.305116,120.300000
29.305200,120.300304
29.305250,120.300384
29.305300,120.300480
29.305334,120.300584
29.305384,120.300696
29.305434,120.300832
29.305450,120.300904
29.305450,120.300936
29.305466,120.300976
29.305482,120.301048
29.305584,120.301568
29.305566,120.301784
29.305584,120.301816
29.305616,120.301848
29.305650,120.301864
29.305884,120.301904
29.306134,120.301936
29.306182,120.301952
29.306266,120.301984
29.306300,120.302032
29.306334,120.302144
29.306668,120.304256
29.306700,120.304400
29.306766,120.304568
29.306850,120.304568
29.306850,120.304568
29.306950,120.304520
29.307118,120.304384
29.307184,120.304336
29.307400,120.304168
29.307466,120.304112
29.307750,120.303920
29.308116,120.303600
29.308500,120.303336
29.308550,120.303368
29.308684,120.303496
29.308684,120.303496
29.309032,120.303936
29.309316,120.304968
29.309718,120.307096
29.309732,120.307232
29.309766,120.307384
29.309800,120.307584
29.309850,120.307832
29.309932,120.307928
29.310000,120.307968
29.310100,120.307968
29.312800,120.307464
29.315666,120.306904
29.315834,120.306904
29.315900,120.306904
29.315950,120.306912
29.315982,120.306952
29.316000,120.306984
29.316050,120.307232
29.316050,120.307336
29.316066,120.307584
29.316084,120.307744
29.316116,120.308400
29.316116,120.308464
29.316250,120.310248
29.316284,120.310448
29.316300,120.310464
29.316400,120.310448
29.316432,120.310432
29.316550,120.310384
29.316566,120.310352
29.316566,120.310320
29.316566,120.310184
29.316500,120.310000
29.316500,120.310000
29.316500,120.310024
29.316500,120.310032
29.316516,120.310048
29.316534,120.310152
29.316550,120.310232
29.316566,120.310336
29.316584,120.310352
29.316550,120.310360
29.316450,120.310432
29.316384,120.310448
29.316334,120.310464
29.316300,120.310488
29.316284,120.310528
29.316284,120.310584
29.316432,120.312768
29.316482,120.313368
29.316482,120.313488
29.316534,120.313552
29.316566,120.313568
29.316616,120.313584
29.316784,120.313552
29.316900,120.313512
29.316932,120.313496
29.316968,120.313432
29.316984,120.313368
29.316968,120.313248
29.316950,120.313064
29.316884,120.313048
29.316850,120.313048
29.316800,120.313048
29.316766,120.313032
29.316750,120.313000
29.316732,120.312984
29.316682,120.312896
29.316700,120.312896
29.316750,120.312952
29.316750,120.312952
29.316766,120.312984
29.316800,120.313032
29.316932,120.313136
29.316950,120.313184
29.316968,120.313304
29.316968,120.313344
29.316968,120.313384
29.316984,120.313488
29.317016,120.313496
29.317066,120.313496
29.317168,120.313488
29.318068,120.313344
29.318200,120.313328
29.318250,120.313320
29.318318,120.313288
29.318368,120.313104
29.318368,120.312824
29.318350,120.312568
29.318184,120.310024
29.318184,120.309816
29.318034,120.307200
29.318034,120.307080
29.318016,120.306664
29.317882,120.305704
29.317816,120.305216
29.317650,120.303648
29.317632,120.303536
29.317618,120.303144
29.317734,120.303048
29.317784,120.303048
29.317816,120.303048
29.317832,120.303032
29.318200,120.302984
29.318250,120.302960
29.318300,120.302960
29.318684,120.302904
29.318768,120.302888
29.318950,120.302816
29.318966,120.302768
29.318950,120.302720
29.318934,120.302584
29.319018,120.302496
29.319068,120.302480
29.319732,120.302296
29.319982,120.302256
29.320034,120.302216
29.320066,120.302184
29.320084,120.302128
29.320050,120.302016
29.320034,120.301984
29.320034,120.301952
29.320034,120.301816
29.320016,120.301680
29.319982,120.301624
29.319950,120.301600
29.319866,120.301600
29.319634,120.301624
29.319534,120.301632
29.319116,120.301696
29.318900,120.301736
29.318884,120.301752
29.318850,120.301784
29.318832,120.301864
29.318900,120.302232
29.318900,120.302352
29.318900,120.302440
29.318884,120.302456
29.318768,120.302480
29.318450,120.302512
29.318016,120.302600
29.317816,120.302648
29.317700,120.302680
29.317700,120.302680
29.317584,120.302736
29.317534,120.302768
29.317534,120.302768
29.317516,120.302800
29.317534,120.303048
29.317566,120.303216
29.317882,120.305648
29.317934,120.306112
29.318132,120.309136
29.318332,120.312512
29.318350,120.313080
29.318450,120.314784
29.318484,120.315120
29.318516,120.315400
29.318532,120.315432
29.318568,120.315456
29.318616,120.315456
29.318684,120.315480
29.318734,120.315536
29.318734,120.315536
29.318818,120.315784
29.318866,120.315864
29.318900,120.315880
29.319116,120.315880
29.319200,120.315864
29.319232,120.315864
29.319384,120.315832
29.319550,120.315816
29.319684,120.315816
29.319766,120.315752
29.319766,120.315736
29.319750,120.315696
29.319766,120.315680
29.319766,120.315664
29.319732,120.315784
29.319268,120.315832
29.318884,120.315832
29.318832,120.315816
29.318782,120.315816
29.318750,120.315736
29.318700,120.315536
29.318666,120.315464
29.318634,120.315432
29.318616,120.315416
29.318582,120.315432
29.318582,120.315432
29.318568,120.315456
29.318532,120.315456
29.318516,120.315464
29.318500,120.315496
29.318484,120.315536
29.318484,120.315848
29.318500,120.315952
29.318516,120.316296
29.318516,120.316456
29.318516,120.316704
29.318500,120.316920
29.318216,120.317016
29.318132,120.317032
29.318050,120.317048
29.317868,120.317048
29.317284,120.317128
29.316816,120.317200
29.316800,120.317216
29.316784,120.317216
29.316750,120.317256
29.316732,120.317400
29.316750,120.317520
29.316784,120.317936
29.316784,120.318016
29.316816,120.318264
29.316816,120.318312
29.316800,120.318352
29.316732,120.318384
29.316732,120.318384
29.316116,120.318424
29.316032,120.318432
29.316018,120.318432
29.316032,120.318424
29.316050,120.318424
29.316066,120.318424
29.316084,120.318424
29.316100,120.318424
29.316134,120.318352
29.316166,120.318336
29.316432,120.318312
29.316732,120.318296
29.316750,120.318280
29.316784,120.318232
29.316784,120.318088
29.316784,120.318016
29.316750,120.317520
29.316732,120.317368
29.316718,120.317280
29.316682,120.317232
29.316616,120.317200
29.316566,120.317200
29.316566,120.317200
29.316284,120.317256
29.315100,120.317416
29.314832,120.317440
29.313016,120.317680
